Código Fonte,Origem,Aplicação,Desdobramento,Detalhamento,Descrição da Fonte,Código STN,Descrição STN
512,99,99,00,00,"CIDE (Lei 10866/04, art. 1ºB)",750,Recursos da Contribuição de Intervenção no Domínio Econômico – CIDE
513,99,04,00,00,Penalidades Administrativas Lei n. 8069/90 - Art. 214-ECA/FMDCA,669,Outros Recursos Vinculados à Assistência Social
514,99,99,00,00,Indenizações Recebidas por bens sinistrados de outras áreas,755,Recursos de Alienação de Bens/Ativos - Administração Direta
515,99,99,00,00,FUNREBOM,759,Recursos Vinculados a Fundos
516,01,07,00,00,Precatórios - E.C. 062/2009,799,Outras Vinculações Legais
517,99,01,00,00,ROYALTIES/ANP - Produção de Petróleo e Gás Natural (Educação),573,Royalties do Petróleo e Gás Natural Vinculados à Educação
517,99,02,00,00,ROYALTIES/ANP - Produção de Petróleo e Gás Natural (Saúde),635,Royalties do Petróleo e Gás Natural vinculados à Saúde
518,09,02,05,20,Bloco de Investimento na Rede de Serviços Públicos de Saúde (Estadual),621,Transferências Fundo a Fundo de Recursos do SUS - Governo Estadual
518,09,02,06,20,Bloco de Investimento na Rede de Serviços Públicos de Saúde (Federal),601,Transferências Fundo a Fundo do SUS - Governo Federal - Bloco de Estruturação
550,08,03,00,00,Receita de Extinção da Entidade Previdenciária,801,Recursos Vinculados ao RPPS - Fundo em Repartição (Plano Financeiro)
551,08,03,00,00,Compensação entre Regimes Previdenciários,800,Recursos Vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)
552,04,99,00,00,Alienação de Ativos para amortização dívida/capitalização do RPPS,755,Recursos de Alienação de Bens/Ativos - Administração Direta
555,99,99,00,00,SANEPAR - Compensação Financeira ao MEIO AMBIENTE do Município,799,Outras Vinculações Legais
556,99,99,00,00,Transferências Lei 9615/98,749,Outras vinculações de transferências
879,09,04,05,04,Transf. Voluntárias de Entidades Gov. Nacionais - ECA/FMDCA (Estadual),661,Transferência de Recursos dos Fundos Estaduais de Assistência Social
879,09,04,06,04,Transf. Voluntárias de Entidades Gov. Nacionais - ECA/FMDCA (Federal),660,Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS
879,09,04,07,04,Transf. Voluntárias de Entidades Gov. Nacionais - ECA/FMDCA (Outros),669,Outros Recursos Vinculados à Assistência Social
880,03,04,02,10,Contribuições e Legados de Entidades não Gover. ECA/FMDCA,665,Transferências de Convênios e Instrumentos Congêneres vinculados à Assistência Social
900,03,06,02,11,Fundo do Idoso (Doações),665,Transferências de Convênios e Instrumentos Congêneres vinculados à Assistência Social
900,09,06,05,05,Fundo do Idoso (Estadual),661,Transferência de Recursos dos Fundos Estaduais de Assistência Social
900,09,06,06,05,Fundo do Idoso (Federal),660,Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS
900,09,06,07,05,Fundo do Idoso (Outros),669,Outros Recursos Vinculados à Assistência Social
932,09,06,06,19,IGDMSuas (3% Conselho de Assistência Social),660,Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS
933,09,06,06,19,IGDSuas (3% Conselho de Assistência Social),660,Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS
934,09,06,05,06,Bloco de financiamento da Proteção Social Básica - SUAS (Estadual),661,Transferência de Recursos dos Fundos Estaduais de Assistência Social
934,09,06,06,06,Bloco de financiamento da Proteção Social Básica - SUAS (Federal),660,Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS
934,09,06,07,06,Bloco de financiamento da Proteção Social Básica - SUAS (Outros),669,Outros Recursos Vinculados à Assistência Social
935,09,06,05,07,Bloco de financiamento da Proteção Social Especial - SUAS (Estadual),661,Transferência de Recursos dos Fundos Estaduais de Assistência Social
935,09,06,06,07,Bloco de financiamento da Proteção Social Especial - SUAS (Federal),660,Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS
935,09,06,07,07,Bloco de financiamento da Proteção Social Especial - SUAS (Outros),669,Outros Recursos Vinculados à Assistência Social
936,09,06,05,08,Componente para Qualificação da Gestão - SUAS (Estadual),661,Transferência de Recursos dos Fundos Estaduais de Assistência Social
936,09,06,06,08,Componente para Qualificação da Gestão - SUAS (Federal),660,Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS
936,09,06,07,08,Componente para Qualificação da Gestão - SUAS (Outros),669,Outros Recursos Vinculados à Assistência Social
937,09,06,05,09,Bloco de Investimentos - SUAS (Estadual),661,Transferência de Recursos dos Fundos Estaduais de Assistência Social
937,09,06,06,09,Bloco de Investimentos - SUAS (Federal),660,Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS
937,09,06,07,09,Bloco de Investimentos - SUAS (Outros),669,Outros Recursos Vinculados à Assistência Social
938,09,06,05,23,Proteção Social Especial de Média Complexidade (Estadual),661,Transferência de Recursos dos Fundos Estaduais de Assistência Social
938,09,06,06,23,Proteção Social Especial de Média Complexidade (Federal),660,Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS
939,09,06,05,24,Proteção Social Especial de Alta Complexidade (Estadual),661,Transferência de Recursos dos Fundos Estaduais de Assistência Social
939,09,06,06,24,Proteção Social Especial de Alta Complexidade (Federal),660,Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS
999,01,01,00,00,Reservas de Contingências (Educação),599,Outros Recursos Vinculados à Educação
999,01,02,00,00,Reservas de Contingências (Saúde),659,Outros Recursos Vinculados à Saúde
